scenario,trial,expected_rule,intensity,fired,detected
door_unlock_accel,22,door-unlock-then-accelerate,1.197,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,23,door-unlock-then-accelerate,0.869,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,24,door-unlock-then-accelerate,1.047,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,25,door-unlock-then-accelerate,0.976,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,26,door-unlock-then-accelerate,1.118,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,27,door-unlock-then-accelerate,0.977,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,28,door-unlock-then-accelerate,0.88,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,29,door-unlock-then-accelerate,0.909,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,30,door-unlock-then-accelerate,0.977,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,31,door-unlock-then-accelerate,1.222,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,32,door-unlock-then-accelerate,0.837,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,33,door-unlock-then-accelerate,0.795,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,34,door-unlock-then-accelerate,0.917,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,35,door-unlock-then-accelerate,0.975,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,36,door-unlock-then-accelerate,1.011,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,37,door-unlock-then-accelerate,0.78,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,38,door-unlock-then-accelerate,1.056,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,39,door-unlock-then-accelerate,1.211,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,40,door-unlock-then-accelerate,1.129,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,41,door-unlock-then-accelerate,1.043,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,42,door-unlock-then-accelerate,0.948,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,43,door-unlock-then-accelerate,0.942,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,44,door-unlock-then-accelerate,0.798,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,45,door-unlock-then-accelerate,1.022,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,46,door-unlock-then-accelerate,1.023,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,47,door-unlock-then-accelerate,0.985,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,48,door-unlock-then-accelerate,1.002,door-unlock-then-accelerate|excessive-speeding,True
door_unlock_accel,49,door-unlock-then-accelerate,1.035,door-unlock-then-accelerate|excessive-speeding,True
