attack,trial,detected,reasons,flagged_ids,isolated_nodes
masquerade,33,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,34,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,35,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,36,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,37,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,38,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,39,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,40,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,41,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,42,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,43,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,44,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,45,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,46,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,47,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,48,True,skew_error_ppm,id=0x244,powertrain_ecu
masquerade,49,True,skew_error_ppm,id=0x244,powertrain_ecu
